post_id	reply_id	sarcasm
47pzis	d0erjh7	0
47q0fl	d0f52n2	1
47q0fl	d0f7423	0
47q2xg	d0es6af	0
47q2xg	d0f0k73	1
47q37h	d0fgb32	0
47q37h	d0f358k	1
47q43c	d0evla3	1
47q43c	d0eswa8	0
47q4dx	d0f5tel	0
47q4dx	d0f76d0	1
47q4ft	d0eu7f6	0
47q4ft	d0ethh8	1
47q71b	d0fcz2z	0
47q71b	d0eyq92	1
47qa08	d0eu021	1
47qa08	d0etpp7	0
47qayl	d0fhkf9	0
47qayl	d0exng0	1
47qg7b	d0fpwtv	0
47qg7b	d0ff15x	1
47qiax	d0ha37h	0
47qiax	d0ezo21	1
47qir8	d0fc8dw	0
47qir8	d0ezb5w	1
47qkwr	d0f3cvx	0
47qkwr	d0f3zrs	1
47qom5	d0figv6	0
47qom5	d0fbbug	1
47qqnz	d0fk7wf	0
47qqnz	d0exkoo	1
47qvu6	d0f0d22	1
47qvu6	d0eywxj	0
47qvv0	d0f8hul	1
47qvv0	d0frbut	0
47qwhp	d0f2m8s	0
47qwhp	d0f1d79	1
47qyxh	d0ezh15	1
47qyxh	d0fj83r	0
47r9mj	d0foc20	0
47r9mj	d0fmuzt	1
47rb3m	d0f3r7i	0
47rb3m	d0fflvw	1
47rbd2	d0f4f5w	0
47rbd2	d0f1thl	1
47rg0u	d0f3d5f	0
47rg0u	d0f2w3m	1
47ri0y	d0f45w6	0
47ri0y	d0f8i7h	1
47rjgn	d0fhb6b	1
47rjgn	d0olyl6	0
47rkbf	d0f3n79	1
47rkbf	d0f3tg0	0
47rn1d	d0jhqpr	1
47rn1d	d0f5stv	0
47rn4n	d0f4mh6	0
47rn4n	d0f48fk	1
47rv9t	d0f5zz9	1
47rv9t	d0f5uu9	0
47s1ms	d0f7cq5	1
47s1ms	d0fnitx	0
47sbcw	d0f8zxv	0
47sbcw	d0f8xhq	1
47sbr8	d0fhdq7	0
47sbr8	d0ffw4l	1
47scur	d0f98az	1
47scur	d0f9yne	0
47sfd5	d0feimm	0
47sfd5	d0fer1b	1
47sfyi	d0fry4a	0
47sfyi	d0fpaxu	1
47shhm	d0fu9t1	0
47shhm	d0fyy7r	1
47sk3z	d0fh2v0	1
47sk3z	d0ftqma	0
47sk9h	d0gfoo0	0
47sk9h	d0foo14	1
47smk8	d0fc9c8	1
47smk8	d0fjxsu	0
47snjn	d0fezi1	1
47snjn	d0fnpra	0
47ssur	d0fg9v6	0
47ssur	d0ffye0	1
47stw0	d0fsj52	1
47stw0	d0ffgpi	0
47swhg	d0flpi3	1
47swhg	d0fj0ww	0
47sxax	d0fm37r	1
47sxax	d0fmzpw	0
47sy0e	d0fg3el	1
47sy0e	d0feoig	0
47t04y	d0ffplw	1
47t04y	d0fy3c7	0
47t0ri	d0fft85	1
47t0ri	d0ffep0	0
47t1c2	d0ffodz	0
47t1c2	d0ffhpr	1
47t96n	d0foh8i	1
47t96n	d0fprh4	0
47t9c5	d0fhd04	1
47t9c5	d0fhl0n	0
47tca0	d0fxhmm	0
47tca0	d0fjrkd	1
47tfm1	d0fn69x	0
47tfm1	d0fjtpf	1
47tg6a	d0frohp	1
47tg6a	d0gcz79	0
47tqif	d0folk8	0
47tqif	d0fmf9g	1
47tssw	d0fl9mo	0
47tssw	d0floq0	1
47twgy	d0frs0r	0
47twgy	d0frd0l	1
47ty9u	d0fm46k	0
47ty9u	d0fmayj	1
47u36k	d0fp1ew	1
47u36k	d0foc8y	0
47u4fb	d0fosod	0
47u4fb	d0fn9sa	1
47u6sy	d0fzyc6	0
47u6sy	d0fniu3	1
47u80d	d0fnz42	1
47u80d	d0fnm5t	0
47u909	d0fo4id	1
47u909	d0fns9y	0
47uao0	d0fupse	0
47uao0	d0fu3j9	1
47ubu3	d0fo8vi	0
47ubu3	d0foeq5	1
47uddh	d0g1y0l	1
47uddh	d0fp2cg	0
47uffe	d0gdtlw	1
47uffe	d0ftqc6	0
47ukkr	d0fpvfo	1
47ukkr	d0g2f7g	0
47um1v	d0ghnlo	1
47um1v	d0g2ps7	0
47umin	d0g1i4u	1
47umin	d0fwds0	0
47un64	d0fqpz8	1
47un64	d0fpvl8	0
47urek	d0i23pe	0
47urek	d0kugdi	1
47us98	d0g0d90	0
47us98	d0g0cka	1
47uvde	d0g5e7s	0
47uvde	d0fxzmf	1
47uy0p	d0ggc15	0
47uy0p	d0ga3hp	1
47v0eu	d0gnbcw	0
47v0eu	d0fsqtl	1
47v10f	d0g523v	1
47v10f	d0g0ljj	0
47v1c7	d0g43d2	1
47v1c7	d0fw8d4	0
47v214	d0gh8ux	1
47v214	d0fyqgv	0
47v45b	d0mi8yd	0
47v45b	d0fsph1	1
47v4c7	d0g3qff	1
47v4c7	d0g0q0l	0
47v54i	d0ftpmu	0
47v54i	d0fyzcc	1
47v587	d0gi9ro	1
47v587	d0fukek	0
47v59t	d0g1kt8	1
47v59t	d0g4zj6	0
47v8cz	d0g9vco	1
47v8cz	d0g70sj	0
47vamd	d0ftigm	1
47vamd	d0g8rbb	0
47vase	d0gim7b	1
47vase	d0gmv75	0
47vcps	d0ftgo2	0
47vcps	d0ft69f	1
47vdz5	d0g7ktq	0
47vdz5	d0fzotd	1
47vew3	d0g2l5y	1
47vew3	d0fxxkj	0
47vhv4	d0gc2q7	0
47vhv4	d0ftib5	1
47vldl	d0g6z1y	1
47vldl	d0g32d2	0
47vlnv	d0fu1bp	1
47vlnv	d0fu28e	0
47w9de	d0fy5jn	0
47w9de	d0fwvlw	1
47wac2	d0g7b8r	0
47wac2	d0g0cak	1
47wcb9	d0gtfmw	1
47wcb9	d0g5olp	0
47wdqf	d0ghcqo	1
47wdqf	d0g6xhy	0
47wmpk	d0g1lgo	1
47wmpk	d0g9vwm	0
47wnac	d0g52nx	0
47wnac	d0gbd6p	1
47wnad	d0fy0ma	1
47wnad	d0fy3e2	0
47wufs	d0gj0nr	0
47wufs	d0gfu6y	1
47x1ww	d0gj0di	1
47x1ww	d0gjnt2	0
47x7kz	d0g0z2l	0
47x7kz	d0g12ge	1
47xac0	d0g1a4s	1
47xac0	d0gbm24	0
47xc94	d0h3wtq	0
47xc94	d0g4gwx	1
47xf0o	d0g249m	1
47xf0o	d0ghazz	0
47xfrp	d0gbz4k	1
47xfrp	d0gdzuk	0
47xmq0	d0gb9pb	1
47xmq0	d1a1hlm	0
47xqb6	d0gicru	1
47xqb6	d0g3kww	0
47xrmy	d0h6fsw	1
47xrmy	d0gu3l4	0
47xrqn	d0g46dc	0
47xrqn	d0g4a5j	1
47xrtb	d0gvnag	0
47xrtb	d0gb86e	1
47xru2	d0gchvd	0
47xru2	d0gbzme	1
47xtf1	d0gdr1k	0
47xtf1	d0gt4xt	1
47xtpa	d0ggl9r	1
47xtpa	d0g6jko	0
47xxsv	d0g5gtp	0
47xxsv	d0gbcc3	1
47y6og	d0ghtxy	0
47y6og	d0ga3l1	1
47y8jn	d0glpgg	1
47y8jn	d0h4hsb	0
47ygd6	d0gebej	1
47ygd6	d0g92mp	0
47yh3a	d0gf2yv	0
47yh3a	d0g90yu	1
47ykcu	d0gazk1	1
47ykcu	d0g979m	0
47ym9o	d0gbus1	0
47ym9o	d0h4gte	1
47ymlp	d0gqd8y	1
47ymlp	d0gc1zr	0
47yvyj	d0gmycx	1
47yvyj	d0h0vba	0
47yzk0	d0gam3t	1
47yzk0	d0gnytw	0
47z0mx	d0gbudj	1
47z0mx	d0gh844	0
47z1hs	d0hausd	0
47z1hs	d0gbeih	1
47z4jk	d0gbvfn	1
47z4jk	d0gbri8	0
47z5gp	d0gcb0x	1
47z5gp	d0gcpgx	0
47zdgn	d0giee4	0
47zdgn	d0geavu	1
47zft4	d0gejmt	0
47zft4	d0ge8n9	1
47zj51	d0gkx43	1
47zj51	d0h9k2n	0
47zj5f	d0gg7kd	1
47zj5f	d0gf6bk	0
47zkqq	d0h6gde	0
47zkqq	d0gfayi	1
47znow	d0gukjc	1
47znow	d0gq7o8	0
47zo7m	d0ghhd2	0
47zo7m	d0gmwhi	1
47zrim	d0gneda	1
47zrim	d0guo5d	0
47zslu	d0gp3ht	0
47zslu	d0gqhna	1
47zvcg	d0gja77	0
47zvcg	d0gqk8n	1
47zylk	d0gj3xq	1
47zylk	d0giux4	0
47zyru	d0h33lp	1
47zyru	d0gzcs8	0
47zzpn	d0gm4kn	0
47zzpn	d0go83g	1
47zzun	d0gnr9p	1
47zzun	d0gk4dq	0
4800km	d0gkv3s	0
4800km	d0gx1nq	1
48010r	d0guf0o	1
48010r	d0h8rve	0
4801zz	d0gjlj1	0
4801zz	d0gk53s	1
4802o5	d0gjqnx	1
4802o5	d0gjs5x	0
48045s	d0gk04m	0
48045s	d0gma35	1
48065c	d0gvy8x	0
48065c	d0gn0az	1
4809z5	d0glufs	0
4809z5	d0glbuc	1
480c0l	d0gn0vg	1
480c0l	d0gndxx	0
480ew8	d0grivm	1
480ew8	d0hnw84	0
480owc	d0gocqk	1
480owc	d0gobup	0
480r4m	d0goqku	1
480r4m	d0gst49	0
480xvf	d0gt56h	0
480xvf	d0h4dmm	1
4810np	d0gtndt	0
4810np	d0grxal	1
4816ib	d0hfm3i	0
4816ib	d0h2sst	1
4817vp	d0hfic9	0
4817vp	d0gsgm1	1
4817wq	d0grljt	1
4817wq	d0grqwl	0
4818l0	d0hugdw	1
4818l0	d0gsyp6	0
4819ee	d0gseld	0
4819ee	d0grn2l	1
481gac	d0h5sp3	0
481gac	d0hqc0o	1
481hcq	d0hv4u4	1
481hcq	d0guzbd	0
481rf0	d0hev9v	0
481rf0	d0gy7pm	1
4822wa	d0gvetn	1
4822wa	d0gw6eu	0
4823h8	d0gwu10	1
4823h8	d0gxkrc	0
482b8a	d0gw86y	1
482b8a	d0gwd1f	0
482cqh	d0hamxt	0
482cqh	d0h4awi	1
482iw3	d0gvq26	1
482iw3	d0gvo2g	0
482k9b	d0hbebf	0
482k9b	d0hf0qn	1
482knt	d0gvw3i	0
482knt	d0gxztf	1
482y3b	d0hs47s	1
482y3b	d0gx0x9	0
4831lz	d0h64f3	1
4831lz	d0h6z6p	0
4831mc	d0h2ucu	1
4831mc	d0h271w	0
4831tg	d0gyp5z	1
4831tg	d0gxg3u	0
483446	d0gxepg	0
483446	d0gy2ai	1
4835av	d0h9awk	0
4835av	d0hflk6	1
4835by	d0gxggh	0
4835by	d0gxf9l	1
483jlh	d0h92sc	1
483jlh	d0hf2yw	0
483nxn	d0h0frv	0
483nxn	d0gzqok	1
483ubs	d0h0cl4	1
483ubs	d0h6oym	0
483w6f	d0h0tgz	0
483w6f	d0h0ai2	1
483wuk	d0h83rf	0
483wuk	d0heunn	1
4849jd	d0hyhm5	1
4849jd	d0hgqwj	0
4849sw	d0h3tkb	1
4849sw	d0h3s5l	0
484abz	d0hddez	1
484abz	d0hg2t8	0
484biy	d0h2oyw	1
484biy	d0h24wu	0
484jfc	d0h5e09	1
484jfc	d0h9j0p	0
484jsy	d0h420z	0
484jsy	d0h5nve	1
484ki7	d0h43jm	0
484ki7	d0h59ho	1
484m44	d0h6scy	1
484m44	d0h54qd	0
484oyf	d0h9gpn	0
484oyf	d0hhf9d	1
484pt4	d0h5e3n	0
484pt4	d0h5xjs	1
48533n	d0he3be	1
48533n	d0hcdzw	0
48589r	d0hb22i	1
48589r	d0h8t5g	0
4858l5	d0hhwzu	0
4858l5	d0hbzqr	1
485don	d0ha0mi	1
485don	d0h86tz	0
485lzg	d0hnssi	1
485lzg	d0h9yiz	0
485s18	d0hcair	0
485s18	d0h9y6e	1
485ul0	d0hahhd	0
485ul0	d0hcl7x	1
485vxj	d0hah6e	1
485vxj	d0hah1i	0
486as8	d0hdc4w	1
486as8	d0hiv9f	0
486di3	d0iwa1o	0
486di3	d0hxq1p	1
486frc	d0hfq1y	1
486frc	d0hgqlt	0
486qdl	d0hq7tx	1
486qdl	d0ht8rp	0
487237	d0hlkeh	1
487237	d0hgrti	0
48723j	d0hg6dg	1
48723j	d0hfmjw	0
4872p2	d0hf81q	1
4872p2	d0hf6a0	0
4873k2	d0invqz	1
4873k2	d0hfl83	0
4874cg	d0ia2an	1
4874cg	d0hj04a	0
487a03	d0i1aoi	0
487a03	d0hnro5	1
487frn	d0i2xp1	0
487frn	d0i301q	1
487lgp	d0hl21z	1
487lgp	d0hjjf5	0
487lj1	d0hj2mk	1
487lj1	d0hjao4	0
487mnp	d0hofbv	0
487mnp	d0hn1ol	1
487n9k	d0i4gjt	1
487n9k	d0hj2j5	0
487q15	d0hlycq	0
487q15	d0hmd1i	1
487u6g	d0hkm9o	0
487u6g	d0ivguu	1
487uvg	d0hobgk	0
487uvg	d0hmtlt	1
487wdb	d0i84rg	1
487wdb	d0hnscq	0
487x0a	d0hlaw4	1
487x0a	d0ih0sc	0
487xan	d0j7hrg	0
487xan	d0hm0k8	1
487yp6	d0hlpf0	0
487yp6	d0hqgzi	1
487z5t	d0hzwva	0
487z5t	d0hzpw9	1
4882ii	d0ixgj4	1
4882ii	d0i8593	0
4888ku	d0ho3xj	1
4888ku	d0hp4df	0
488ewh	d0hq420	0
488ewh	d0hrjtv	1
488fxo	d0hrqf5	0
488fxo	d0hqnel	1
488fyi	d0hthm2	1
488fyi	d0hr71h	0
488gjl	d0hu9t8	1
488gjl	d0hr835	0
488gni	d0htijz	0
488gni	d0hshjc	1
488iji	d0i9ki5	1
488iji	d0i3ctn	0
488mpi	d0i3amy	1
488mpi	d0hrlky	0
4892ii	d0huyda	1
4892ii	d0hytmj	0
4894zi	d0j4d74	0
4894zi	d0ih9nm	1
489gzk	d0i98us	0
489gzk	d0ig090	1
489h28	d0hwmng	1
489h28	d0hye7n	0
489kgw	d0hx0fh	1
489kgw	d0hxjqk	0
489u6s	d0ihg7z	1
489u6s	d0ilxql	0
489v0h	d0hyiyv	1
489v0h	d0i01me	0
489zoi	d0iuq4l	1
489zoi	d0i8y4r	0
48a0c8	d0i3bl2	1
48a0c8	d0i4t6z	0
48abb7	d0i1r7k	0
48abb7	d0i71p0	1
48abip	d0i8gus	1
48abip	d0iffpx	0
48aehy	d0j10el	0
48aehy	d0i2pj0	1
48ag11	d0i20da	1
48ag11	d0i2uhk	0
48aiu6	d0iv40e	0
48aiu6	d0i4koo	1
48ajla	d0ik9q4	0
48ajla	d0ipsd7	1
48amjj	d0ij7hm	0
48amjj	d0ihndx	1
48an47	d0jba8v	1
48an47	d0iogf0	0
48anb4	d0jue99	1
48anb4	d0i3gle	0
48asjq	d0i4hxo	0
48asjq	d0i8g0t	1
48atsj	d0i4tyv	0
48atsj	d0id0bv	1
48ay8w	d0iehc4	0
48ay8w	d0icgag	1
48b3f4	d0i9rcz	1
48b3f4	d0ikk51	0
48b8ch	d0j2uo3	1
48b8ch	d0io0rr	0
48b8q5	d0j79k2	1
48b8q5	d0j77fm	0
48baak	d0i978y	0
48baak	d0jeh3v	1
48bb8f	d0i953g	1
48bb8f	d0iad8w	0
48bbra	d0ib4tn	1
48bbra	d0iklcg	0
48bde4	d0itb87	1
48bde4	d0ixvjb	0
48bf84	d0ib5vz	1
48bf84	d0i9prl	0
48bh0f	d0iigvv	1
48bh0f	d0ibxk5	0
48bhl3	d0iaj2y	1
48bhl3	d0iamig	0
48bhs9	d0iad1s	1
48bhs9	d0iipxk	0
48bitw	d0ibda1	1
48bitw	d0iawhj	0
48bk9w	d0jta9l	1
48bk9w	d0iia7d	0
48bkrr	d0ibs9t	0
48bkrr	d0jal4y	1
48blge	d0ipq7k	0
48blge	d0ibg21	1
48bn4y	d0ie761	1
48bn4y	d0ibxth	0
48brdm	d0j2xkc	1
48brdm	d0igwh0	0
48bsm4	d0idhy6	0
48bsm4	d0ifx4l	1
48bu3o	d0iqge4	0
48bu3o	d0ihx4m	1
48buxj	d0ifte5	0
48buxj	d0ie032	1
48bzmu	d0j9pro	0
48bzmu	d0iygah	1
48c1vl	d0ifxts	1
48c1vl	d0j2la6	0
48c3yl	d0ika2u	1
48c3yl	d0iv4z7	0
48c8xg	d0igv73	0
48c8xg	d0ijwp3	1
48c93k	d0igweh	1
48c93k	d0imn44	0
48cc1y	d0iiw9x	0
48cc1y	d0irrwh	1
48cjfs	d0l1jvc	0
48cjfs	d0ja74h	1
48cl60	d0ijiig	0
48cl60	d0ijui8	1
48cpm7	d0j87qv	0
48cpm7	d0ioji1	1
48cps3	d0jebfy	1
48cps3	d0iks39	0
48cq2k	d0il8sw	0
48cq2k	d0j15g5	1
48cr0x	d0il465	1
48cr0x	d0iksfj	0
48cw9f	d0izy2a	0
48cw9f	d0iqk1v	1
48cx84	d0j7j91	0
48cx84	d0j31ru	1
48d0bn	d0is5yh	1
48d0bn	d0isijh	0
48d0gn	d0j78ya	0
48d0gn	d0itzoi	1
48d1wa	d0in83z	0
48d1wa	d0imy7z	1
48d4o4	d0iomt5	0
48d4o4	d0iogk3	1
48d66e	d0jaepv	0
48d66e	d0jimwo	1
48d76i	d0iv0av	0
48d76i	d0ioltc	1
48d9r0	d0j0lta	0
48d9r0	d0iuf3e	1
48d9sb	d0jawkx	0
48d9sb	d0j985c	1
62p9i1	dfocun2	0
62p9i1	dfo9goa	1
62pbm4	dfobjtr	0
62pbm4	dfocz2u	1
62pgpu	dfofdfw	1
62pgpu	dfokejv	0
62phym	dfooeb1	0
62phym	dfpzjbu	1
62pi29	dfob8yw	1
62pi29	dfoecjs	0
62pi53	dfoof16	0
62pi53	dfp3i7w	1
62pieu	dfof39w	1
62pieu	dfobg40	0
62pm38	dfoetj4	1
62pm38	dfoiu0c	0
62pm8b	dfoca2i	0
62pm8b	dfoyq2j	1
62pn4c	dfohi2c	0
62pn4c	dfok1ek	1
62pqd8	dfof23y	0
62pqd8	dfokzdu	1
62pxch	dfosvyj	0
62pxch	dfrhvk3	1
62q2d5	dfog3u8	1
62q2d5	dfog4p9	0
62q6x1	dfohw3b	1
62q6x1	dfoh27c	0
62q82x	dfpo3hk	0
62q82x	dfow2qs	1
62qfa6	dfop5sw	0
62qfa6	dfp1aoq	1
62qhis	dfokvkx	0
62qhis	dfolm2w	1
62qiw6	dfoj8vf	1
62qiw6	dfoj89d	0
62qjqa	dfoymss	0
62qjqa	dfot0h0	1
62qlmd	dfoue8o	1
62qlmd	dfoxf0e	0
62qlol	dfojsk4	1
62qlol	dfomy34	0
62qndg	dfpf5t5	1
62qndg	dfox3ju	0
62quec	dfollu8	1
62quec	dfolj05	0
62qvzz	dfonw9p	1
62qvzz	dfomp74	0
62qw2s	dfolych	1
62qw2s	dfolwl6	0
62r0x4	dfoorqi	1
62r0x4	dfot3yw	0
62r1uv	dfoqfu3	0
62r1uv	dfp4y2u	1
62r5hc	dfouhtj	1
62r5hc	dfpag5x	0
62r6et	dfox6ur	0
62r6et	dfozh25	1
62r8oa	dfp2xrm	1
62r8oa	dfz4ym4	0
62rdz8	dfp1j46	1
62rdz8	dfp9mhc	0
62rekj	dfz8xvq	1
62rekj	dfoq6op	0
62rfrz	dfor4ig	1
62rfrz	dfr12en	0
62rhde	dfoy1w8	0
62rhde	dfozxcm	1
62rnat	dfpd14n	0
62rnat	dfot8ek	1
62rnt1	dforjkw	0
62rnt1	dfowd8x	1
62rrta	dfpq5d1	1
62rrta	dfozg59	0
62ru5i	dforjjf	0
62ru5i	dfozj1x	1
62s3ev	dfp6ixo	1
62s3ev	dfotorv	0
62s4y4	dfotwmn	0
62s4y4	dfotlx6	1
62s8z3	dfppt4h	0
62s8z3	dfp54mh	1
62s9ev	dfov7jm	0
62s9ev	dfpmv1q	1
62sanl	dfpjesv	0
62sanl	dfppmom	1
62saqu	dfp8zg9	0
62saqu	dfoxm4l	1
62sdt9	dfoulw5	1
62sdt9	dfoueun	0
62sdw4	dfoukaw	1
62sdw4	dfouf5o	0
62sjk4	dfp7szi	0
62sjk4	dfpkosg	1
62slhi	dfp130x	0
62slhi	dfpi5j4	1
62slwc	dfp63h4	0
62slwc	dfpawbc	1
62smqj	dfpav0h	0
62smqj	dfowcuf	1
62srm0	dfpquh1	1
62srm0	dfp650i	0
62ssrw	dfoxmsu	0
62ssrw	dfox1y7	1
62svzi	dfoy44h	1
62svzi	dfp28dt	0
62syox	dfpdtb2	0
62syox	dfp9fkl	1
62t03j	dfp4mp5	0
62t03j	dfp3h83	1
62t0x1	dfp8bpz	1
62t0x1	dfp932t	0
62t1ne	dfp8uk9	0
62t1ne	dfpa3k2	1
62t4jm	dfpp2y3	0
62t4jm	dfp8ui1	1
62t5r7	dfph512	1
62t5r7	dfp5rdo	0
62t8eb	dfpq83w	0
62t8eb	dfq02if	1
62t9yb	dfp2634	0
62t9yb	dfp3wdk	1
62tch5	dfp7vcc	0
62tch5	dfp0i0u	1
62tfrr	dfp1x47	0
62tfrr	dfp4toe	1
62thg8	dfp7i4n	1
62thg8	dfp1eo8	0
62tmqv	dfpdx52	0
62tmqv	dfp50d6	1
62tz3m	dfpnnpz	1
62tz3m	dfpiiqa	0
62tzty	dfpjj2w	1
62tzty	dfpdb0f	0
62u189	dfp6av9	0
62u189	dfp51py	1
62u1ed	dfpq875	1
62u1ed	dfpjbmx	0
62u1n2	dfp62zi	0
62u1n2	dfprnjn	1
62u203	dfp5apk	0
62u203	dfp56uk	1
62u2xt	dfp61hs	0
62u2xt	dfp5t2n	1
62u31u	dfpjxlh	1
62u31u	dfpula3	0
62u56i	dfpd05r	0
62u56i	dfp76xi	1
62ub3r	dfp7vpz	0
62ub3r	dfpnxbf	1
62udgz	dfpcqdx	1
62udgz	dfpqpi7	0
62uh5v	dfp88a8	1
62uh5v	dfp9epo	0
62uhxw	dfpewwf	0
62uhxw	dfpdsme	1
62uhy0	dfpqq9j	0
62uhy0	dfq3bb6	1
62ul2t	dfqixd4	1
62ul2t	dfpvmsf	0
62uly8	dfp9h3r	0
62uly8	dfpeatt	1
62uo57	dfpa3tt	0
62uo57	dfp9w95	1
62uqu6	dfpo7m4	1
62uqu6	dfpn0h9	0
62urmz	dfpkzen	1
62urmz	dfpkku7	0
62us31	dfs6pyi	1
62us31	dfparhn	0
62us9s	dfpiz9p	0
62us9s	dfpr90e	1
62utbj	dfpcivd	1
62utbj	dfq22nh	0
62ux31	dfpscnr	1
62ux31	dfpc5l2	0
62uyty	dfqd7di	1
62uyty	dfpio91	0
62uzq0	dfpldod	0
62uzq0	dfpk4zn	1
62v52y	dfpughh	0
62v52y	dfpcsf2	1
62vapf	dfpkg6s	0
62vapf	dfpfiw5	1
62vj9g	dfpes0t	1
62vj9g	dfpev0i	0
62vjxq	dfphty9	0
62vjxq	dfpr2l5	1
62vlg6	dfr4uad	1
62vlg6	dfpg64c	0
62vm0r	dfqq40d	1
62vm0r	dfpj8ql	0
62vmf7	dfqfjwz	0
62vmf7	dfpzjvk	1
62vptd	dfpuyaa	0
62vptd	dfpjvww	1
62vr6m	dfph6rg	0
62vr6m	dfpxnfs	1
62vvbx	dg3wwur	1
62vvbx	dfpyunk	0
62vyr0	dfpiwva	1
62vyr0	dfpi505	0
62vzmi	dfq1wiy	0
62vzmi	dfqghw1	1
62vzxx	dfps042	1
62vzxx	dfpneev	0
62w34s	dfpnt0e	0
62w34s	dfpijvo	1
62w4cd	dfq1zcx	1
62w4cd	dfprvcj	0
62w5ao	dfpjnas	0
62w5ao	dfpjtai	1
62w7en	dfpjle1	0
62w7en	dfpjm08	1
62w9bx	dfpospx	0
62w9bx	dfpji1n	1
62wcvt	dfpw8ao	1
62wcvt	dfpkof6	0
62wf2n	dfpkp44	1
62wf2n	dfpzyyl	0
62wfeb	dfq4ytb	1
62wfeb	dfplm9b	0
62wfhr	dfptr4r	0
62wfhr	dfq0scb	1
62wjaz	dfpvcle	0
62wjaz	dfpznnd	1
62wstk	dfpqivw	1
62wstk	dfpvnr5	0
62wyhi	dfqb9os	0
62wyhi	dfq810q	1
62xo25	dfr7pz6	0
62xo25	dfpw0so	1
62xrqb	dfpuwg5	1
62xrqb	dgbmiyl	0
62xtpe	dfpxoi0	0
62xtpe	dfpvx1m	1
62xtru	dfq3xuo	0
62xtru	dfq5otp	1
62xynr	dfpwign	0
62xynr	dfq7uoc	1
62y0r3	dfqgh12	1
62y0r3	dfqh0pb	0
62y2x3	dfq96l7	0
62y2x3	dfqak7v	1
62y5mh	dfpy7vk	1
62y5mh	dfq9n09	0
62y64t	dfpyglk	0
62y64t	dfq1le9	1
62y7f4	dfq0147	1
62y7f4	dfrould	0
62ybh3	dfreah8	0
62ybh3	dfpzi5y	1
62ybtr	dfq6k3g	1
62ybtr	dfq2x8p	0
62yc4i	dfpz3a8	0
62yc4i	dfq25ly	1
62ye6d	dfq9p0r	1
62ye6d	dfqskvy	0
62yei8	dfqjfe4	1
62yei8	dfqg8oz	0
62ygja	dfpzz8k	0
62ygja	dfpzxvv	1
62ysgl	dfq2d43	0
62ysgl	dfq4m5v	1
62yuzx	dfq690a	1
62yuzx	dfq381c	0
62ywtp	dfq972f	1
62ywtp	dfq3eju	0
62yxyd	dfqo732	0
62yxyd	dfq8iet	1
62yyqw	dfq3k43	0
62yyqw	dfq3d3j	1
62yyte	dfq3vzi	0
62yyte	dfq8wh6	1
62z0ov	dfqxaxm	0
62z0ov	dfqw2yz	1
62z1k9	dfq3kka	1
62z1k9	dfq3xm1	0
62z2mj	dfq717t	0
62z2mj	dfq5hlv	1
62z32j	dfqs8qs	1
62z32j	dfqbyzm	0
62z4p6	dfqdnox	0
62z4p6	dfqagfh	1
62z4u8	dfqfgr8	1
62z4u8	dfq3yeq	0
62z58y	dfq88ku	1
62z58y	dfqa4qi	0
62z6aj	dfq4dzr	1
62z6aj	dfq5a8e	0
62z8wm	dfq7730	0
62z8wm	dfq4k4z	1
62zb08	dfrc4ce	0
62zb08	dfqu2ty	1
62zban	dfro5ac	1
62zban	dfqdlm7	0
62zcyy	dfr22lo	1
62zcyy	dfqruhs	0
62zhlc	dfq6i8d	1
62zhlc	dfq68iu	0
62zkhe	dfq6eoy	0
62zkhe	dfqhuc1	1
62zm75	dfqb650	0
62zm75	dfqdbc8	1
62zu3g	dfqksyu	0
62zu3g	dfqndsc	1
62zzs7	dfqv0wq	1
62zzs7	dfqnger	0
6302re	dfq9pcf	0
6302re	dfqk7c8	1
630361	dfqoh51	1
630361	dfqa11d	0
6305ou	dfqqj1g	1
6305ou	dfqq8in	0
6308m6	dfqf096	1
6308m6	dfqia7s	0
630az2	dfqfurq	0
630az2	dfr57e7	1
630dr3	dfqliiq	0
630dr3	dfqp9t4	1
630ksh	dfqfrvc	0
630ksh	dfqni4g	1
630kxg	dfqdyrh	0
630kxg	dfqdetm	1
630o4o	dfqpvtz	0
630o4o	dfqgxt7	1
630pjc	dfqxg01	1
630pjc	dfrms5q	0
630tcw	dfqg1az	0
630tcw	dfqk1td	1
630u91	dfqvisa	0
630u91	dfqp2we	1
6311k9	dfqyfuf	1
6311k9	dfrbh9m	0
6311y7	dfqtf40	1
6311y7	dfqhcqy	0
631269	dfrahrj	0
631269	dfr0rjy	1
6316vz	dfqud6m	1
6316vz	dfqqiaj	0
6318rv	dfqpn2d	0
6318rv	dfricgi	1
631e69	dfqm2oj	1
631e69	dfqrmln	0
631j74	dfr89v0	1
631j74	dfr6abe	0
631kt6	dfqnji8	0
631kt6	dfqrd6x	1
631ngu	dfqym1w	0
631ngu	dfr6geb	1
631r59	dfqmwwy	1
631r59	dfr3uiz	0
631tew	dfqrzl3	0
631tew	dfrxxi6	1
631tsm	dfqnuox	1
631tsm	dfqmur4	0
631xbb	dfrvdpu	1
631xbb	dfqpis4	0
631y9a	dfquy9k	0
631y9a	dfr0q2a	1
63217c	dfsc5ng	0
63217c	dfr60cb	1
6322eh	dfqp2qd	0
6322eh	dfqriug	1
6323m5	dfrkxho	1
6323m5	dfr5hmo	0
63246s	dfqr1v3	1
63246s	dfqrldd	0
